Mantle,0x403865C14d562fe7A683af12287F2D7b2791367E
Gnosis,0x092fAeB0Fb3B600A3323EB862ddF5563B35feD55
Arbitrum Nova,0x862ABEA82BA739bebFf8a501f9A46F1922781998
Polygon,0xba4533e8cb701e5a938d03ee2fbe7d013ba8e52a
Polygon zkEVM,0xd26EE1836E288387A0e5c836Bc5368FB761D791C
Celo,0x7cEF5F21fA0ee128581E4d852c6126047aC2a3fB
Fantom,0x092fAeB0Fb3B600A3323EB862ddF5563B35feD55
Optimism,0xd26EE1836E288387A0e5c836Bc5368FB761D791C
Base,0x87f7F414e2fF3d8B051cf0Fb3ebD3d7811435EbE
Zora,0x87f7F414e2fF3d8B051cf0Fb3ebD3d7811435EbE
